timestamp,Inquisitor's_armour_set,Arcane_spirit_shield,Arcane_sigil,Sanguinesti_staff_(uncharged),Dragon_hunter_lance,Dragon_claws,Craw's_bow_(u),3rd_age_kiteshield,3rd_age_full_helmet,3rd_age_robe,Gilded_scimitar,Gilded_armour_set_(lg),Anglerfish,Manta_ray,Shark,Magic_logs,Smoke_battlestaff,Anguish_ornament_kit,Tormented_ornament_kit,Occult_ornament_kit,Torture_ornament_kit
1622764800000,593790604,121899869,123950207,69022131,58240925,58359730,12843081,50005282,31161524,43956743,17042213,14536500,1688,1541,879,1029,1087901,7427338,4591806,5045598,5258992
1622851200000,595913864,121203016,123950207,67909050,57660729,60436027,12241129,51506603,32235564,43956743,17113569,14681569,1760,1523,874,1028,1091997,7472732,4585187,5055620,5135448
1622937600000,589598716,120343217,121974486,68073547,57504858,60528567,11766658,51506603,32235564,46072656,17124625,14681569,1791,1446,892,1030,1127670,7614592,4554825,5188656,5205201
1623024000000,578753528,119866211,121974486,67381191,57440309,60768645,11593224,48960353,30678261,46072656,17019454,14558896,1796,1381,902,1033,1147613,7733453,4576265,5345878,5297104
1623110400000,552382300,116786550,121974486,65076236,57091554,59595563,11655170,48960353,30678261,48215157,16955841,14558896,1712,1316,900,1038,1137042,7718241,4437651,5177565,5307115
1623196800000,542367603,113058040,121974486,62451785,55832554,58310264,11826754,48290116,31246740,48215157,16955841,14462164,1657,1251,892,1046,1107607,7757200,4293876,5122504,5369645
1623283200000,528808551,110675140,121974486,61454645,55365598,57805520,12149485,48290116,31246740,50434634,16938823,14394037,1680,1235,891,1033,1105631,7636834,4100699,4888431,5263411
1623369600000,540044267,110894052,121974486,61324735,55520526,57656518,12617205,48535664,31382065,50434634,16881256,14394544,1754,1282,890,1026,1115175,7360818,4118327,4729582,5219238
1623456000000,561864106,111849664,121974486,61532749,55413401,56770974,12902456,48535664,31382065,52822784,16785711,14394544,1761,1261,902,1019,1099253,7454779,4071132,4669220,5183833
1623542400000,578014336,114155851,116766492,61408928,55179307,57550924,13147421,48535664,30266453,52822784,16785711,14332755,1806,1248,909,1007,1105278,7687041,4085479,4724204,5181693
1623628800000,571184379,116157129,116766492,60675298,55042358,57931200,13287804,46281084,30266453,55333815,16603564,14283597,1831,1277,904,1009,1116906,7671550,4071136,4817247,5178395
1623715200000,550193738,113899671,116766492,60268769,54553141,57661254,13365098,46281084,30266453,55333815,16603564,14283597,1811,1338,907,1011,1127304,7748961,4032667,4838483,5182350
1623801600000,528670367,109149707,116766492,57653421,52811000,55274820,12828433,46281084,30082309,57966448,16512208,14329038,1790,1359,906,1008,1119594,7458817,3942936,4730452,5157996
1623888000000,523253341,110775492,116766492,58597674,52805303,54118647,12437570,45067576,30082309,57966448,16404438,14329038,1792,1412,900,1015,1120496,7391344,3827252,4630057,5184453
1623974400000,529904089,111232500,116766492,58980733,53041439,53907362,12180633,45067576,30082309,60693395,16404438,14328286,1799,1449,897,1012,1134421,7350097,4001336,4538348,5120168
1624060800000,537413750,111311059,116766492,58954321,53860447,54540535,12117256,45067576,30033081,60693395,16359019,14328286,1878,1481,907,1008,1148122,7521217,4157529,4524293,5243018
1624147200000,542498821,111771214,111961729,59054042,54276648,54839128,12143009,45511525,30033081,63360442,16279079,14239961,1938,1503,936,997,1187050,7593127,4330273,4513567,5303861
1624233600000,538900178,112694704,111961729,59619244,54065797,55059329,11997154,45511525,30845776,63360442,16279079,14239961,1978,1468,935,996,1180562,7575699,4546787,4642351,5354492
1624320000000,539161397,114472656,111961729,59416179,54038419,55296306,12108322,45511525,30845776,66071860,16245361,14148724,1951,1468,960,1000,1179458,7550123,4684200,4579715,5430240
1624406400000,538446045,113297519,111961729,58047873,53807225,55299885,12685627,44691849,30034623,66071860,16245361,14148724,1889,1430,973,1003,1210305,7663976,4489419,4437368,5318898
1624492800000,534570543,112030051,112433315,56482805,53471073,54829998,13310519,44691849,30034623,66071860,16232993,14104067,1864,1444,973,1000,1232945,7594950,4418894,4303784,5277891
1624579200000,533797425,107969844,112433315,53948431,52188690,53503813,13776758,43181617,28595441,66461403,16456323,14104067,1808,1428,969,993,1224695,7562074,4217088,4242118,5238960
1624665600000,526912256,107330402,112433315,51326051,50902006,52628176,14379528,43181617,28595441,66461403,16456323,14017887,1774,1433,965,988,1246491,7406756,4009040,4090685,5204203
1624752000000,516447199,107652690,112433315,50118061,49901348,51821327,14221982,43181617,27790315,66461403,16600325,14017887,1822,1503,972,983,1232556,7331248,3808812,4107406,5136446
1624838400000,508871129,107824594,112433315,49158044,48009113,50514159,13768682,41058596,27790315,63138332,16600325,14035725,1808,1539,987,980,1193551,7196314,3646041,4191588,5074787
